Property_Title,Property_URL,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"1BHK1BathIndependent/Builder Floor for Rentin Paryavaran Complex, Delhi",https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-paryavaran-complex-south-delhi-555-sq-ft-spid-S84279606,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyVitrified FlooringNorth-East FacingView 7 More Wheel Chair FriendlyPet FriendlyVisitor Parkin,"₹ 19,000",₹0,N/A,Independent,N/A,1,1,1,Semi-Furnished,555 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:07:34
"2BHK2BathsFlat/Apartment for Rentin DDA Flats Mayur Vihar, Mayur Vihar Phase 1, Delhi",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-dda-flats-mayur-vihar-mayur-vihar-phase-1-east-delhi-1000-sq-ft-r14-spid-M54241536,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Mayur Vihar Mayur Vihar Phase 1 Delhi - 1000 Sq. Ft.- 3rd floor (out of 4,"₹ 35,000",₹0,"₹ 42,000",Apartment/Flat,N/A,2,2,2,Semi-Furnished,1000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:07:46
"1BHK2BathsFlat/Apartment for Rentin DDA Kaveri Apartments, Sector D Vasant Kunj, Delhi",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-dda-kaveri-apartments-sector-d-vasant-kunj-south-delhi-581-sq-ft-r3-spid-D80445697,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Kaveri Apartments Sector D Vasant Kunj Delhi - 581 Sq. Ft.- 3rd floor (out of 5,"₹ 27,000",₹0,N/A,Apartment/Flat,N/A,1,2,1,Semi-Furnished,581 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:07:57
"3BHK3BathsIndependent/Builder Floor for Rentin Nangal Dewat, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-nangal-dewat-delhi-south-1800-sq-ft-r4-spid-B68369548,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyEast FacingView 9 More Wheel Chair FriendlyPet FriendlyVisitor Parking AvailableOn-Call Maint,₹ 1.4,₹0,N/A,Independent,N/A,3,3,1,N/A,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:08:06
"3BHK3BathsIndependent/Builder Floor for Rentin Bali Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-bali-nagar-west-delhi-1700-sq-ft-spid-J84514316,Paschim ViharBuilder Floor for rent in Virender NagarBuilder Floor for rent in P,"Block WZ, Basai Dara pur, Moti Nagar,, West DelhiSend enquiry to DealerYou are Individual DealerIND ","₹ 65,000",₹0,N/A,Independent,N/A,3,3,2,Furnished,1700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:08:16
"3BHK3BathsFlat/Apartment for Rentin Capital Apartments, Nasirpur, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-capital-apartments-nasirpur-dwarka-delhi-2102-sq-ft-spid-Y85717496,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Capital Apartments Nasirpur Delhi - 2102 Sq. Ft.- 4th floor (out of 14),"₹ 65,000",N/A,N/A,Apartment/Flat,N/A,3,3,3,Furnished,2102 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:08:24
"4Bedrooms4BathsFarm House for Rentin Sultanpur, Delhi",https://www.99acres.com/4-bhk-bedroom-farm-house-for-rent-in-sultanpur-south-delhi-21780-sq-ft-spid-W83679634,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Sultanpur, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 201",₹ 6.5,N/A,N/A,N/A,N/A,4,4,N/A,N/A,21780 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:08:32
"1RK1BathStudio Apartment for Rentin DDA Flats, Saket, Delhi",https://www.99acres.com/studio-apartment-flat-for-rent-in-dda-flats-saket-south-delhi-500-sq-ft-spid-C83725554,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat Flats for rent in DDA Flats Saket Delhi - 500 Sq. Ft.- 4th floor (out of 4),"₹ 28,000",₹0,N/A,Apartment/Flat,N/A,1,1,1,Furnished,500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:08:43
"5Bedrooms5BathsFarm House for Rentin Ansal Satbari, Delhi",https://www.99acres.com/5-bhk-bedroom-farm-house-for-rent-in-ansal-satbari-south-delhi-43560-sq-ft-spid-P82266320,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Ansal Satbari, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug,",₹ 12,N/A,"₹ 48,00,000",Apartment/Flat,N/A,5,5,N/A,N/A,43560 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:08:52
"3BHK4BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-one-midtown-moti-nagar-west-delhi-2300-sq-ft-spid-D85849448,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2300 Sq. Ft.- 6th floor (out of 39),₹ 1.45,₹0,N/A,Apartment/Flat,N/A,3,4,1,Furnished,2300 sq.ft,30 Oct,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:09:01
