Property_Title,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"900 Sq-ft  3 BHK Flat  For Sale inMahavir Enclave Part 1, New Delhi",New Delhi ,"Flat/Apartment in Mahavir Enclave Part 1, New Delhi - 900 Sq-ft | Posted by Owner near Kali Bari man",₹ 50 Lac,"₹6,395",N/A,Builder Floor,N/A,3,2,2,Semi-Furnished,860 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 21:33:46
"2 BHK Flat  For Sale in Oberoi Apartments,Ludlow Castle, New Delhi",New Delhi ,"Flat/Apartment in Oberoi Apartments Ludlow Castle , New Delhi - 1st Floor | Posted by Owner",₹ 50 Lac,"₹42,411",N/A,Builder Floor,N/A,2,2,2,Furnished,1120 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 21:33:58
N/A,New Delhi ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-10-12 21:34:08
"4 BHK Builder Floor For Sale inKailash hills, New Delhi",New Delhi ,Flats in New Delhi House for sale in New Delhi Villa in New Delhi Property in New Delhi Agriculture ,₹ 50 Lac,"₹25,000",N/A,Builder Floor,N/A,4,N/A,N/A,Semi-Furnished,1400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 21:34:16
"3 BHK Builder Floor For Sale inRishi Nagar, New Delhi",New Delhi ,Flats in New Delhi House for sale in New Delhi Villa in New Delhi Property in New Delhi Agriculture ,₹ 50 Lac,N/A,N/A,Builder Floor,N/A,3,3,2,Semi-Furnished,800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 21:34:27
"3 BHK Builder Floor For Sale inAjay Enclave, New Delhi",New Delhi ,Flats in New Delhi House for sale in New Delhi Villa in New Delhi Property in New Delhi Agriculture ,₹ 50 Lac,"₹20,833",N/A,Builder Floor,N/A,3,3,N/A,Semi-Furnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 21:34:38
"900 Sq-ft  3 BHK Flat  For Sale inMahavir Enclave Part 1, New Delhi",New Delhi ,"Flat/Apartment in Mahavir Enclave Part 1, New Delhi - 900 Sq-ft | Posted by Owner near Kali Bari man",₹ 50 Lac,"₹6,395",N/A,Builder Floor,N/A,3,2,2,Semi-Furnished,860 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 21:34:50
"3 BHK Builder Floor For Sale inAjay Enclave, New Delhi",New Delhi ,Flats in New Delhi House for sale in New Delhi Villa in New Delhi Property in New Delhi Agriculture ,₹ 50 Lac,"₹20,833",N/A,Builder Floor,N/A,3,3,N/A,Semi-Furnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 21:35:02
"2 BHK Flat  For Sale in Oberoi Apartments,Ludlow Castle, New Delhi",New Delhi ,"Flat/Apartment in Oberoi Apartments Ludlow Castle , New Delhi - 1st Floor | Posted by Owner",₹ 50 Lac,"₹42,411",N/A,Builder Floor,N/A,2,2,2,Furnished,1120 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 21:35:14
N/A,New Delhi ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-10-12 21:35:26
"4 BHK Builder Floor For Sale inKailash hills, New Delhi",New Delhi ,Flats in New Delhi House for sale in New Delhi Villa in New Delhi Property in New Delhi Agriculture ,₹ 50 Lac,"₹25,000",N/A,Builder Floor,N/A,4,N/A,N/A,Semi-Furnished,1400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 21:35:34
"3 BHK Builder Floor For Sale inRishi Nagar, New Delhi",New Delhi ,Flats in New Delhi House for sale in New Delhi Villa in New Delhi Property in New Delhi Agriculture ,₹ 50 Lac,N/A,N/A,Builder Floor,N/A,3,3,2,Semi-Furnished,800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 21:35:46
