Property_Title,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date,Price_Numeric,Carpet_Area_Numeric,Rate_per_sqft_Numeric,Deposit_Numeric,Floor_Number,Total_Floors,Location_Clean,Price_per_sqft,Total_Rooms,Bath_Bed_Ratio,Floor_Position_Ratio,Is_Top_Floor,Is_Ground_Floor,Size_Category,Furnishing_Score,Has_Balcony,Is_Luxury,Property_Type_Encoded,Posted_By_Encoded,Size_Category_Encoded,Location_Clean_Encoded
"3BHK2BathsFlat/Apartment for Rentin phase 2 , Chattarpur Enclave Phase 2, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Chattarpur Enclave Phase 2 Delhi - 1250 Sq. Ft.- 2nd floor (out of 4),"₹ 29,000",₹0,"₹ 29,000",Apartment/Flat,,3,2,2.0,Unfurnished,1250 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:29:52,29000.0,1250.0,,29000.0,2.0,4.0,West Delhi Jan 21,23.181454836131095,5,0.5,0.4,0,0,Medium,0,1,0,0,0,1,22
"2BHK2BathsIndependent/Builder Floor for Rentin phase 2 , Chattarpur Enclave Phase 2, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Phase 2 Delhi - 950 Sq. Ft.- 1st floor (out of 4),"₹ 25,000",₹0,"₹ 25,000",Independent,,2,2,2.0,Unfurnished,950 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:30:05,25000.0,950.0,,25000.0,1.0,4.0,West Delhi Jan 21,26.288117770767613,4,0.6666666666666666,0.2,0,0,Small,0,1,0,1,0,2,22
"1BHK2BathsFlat/Apartment for Rentin DDA Kaveri Apartments, Sector D Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Kaveri Apartments Sector D Vasant Kunj Delhi - 581 Sq. Ft.- 3rd floor (out of 5,"₹ 27,000",₹0,,Apartment/Flat,,1,2,1.0,Semi-Furnished,581 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:30:20,27000.0,581.0,,,3.0,4.0,West Delhi Jan 21,46.391752577319586,3,1.0,0.6,0,0,Small,1,1,0,0,0,2,22
"3BHK3BathsIndependent/Builder Floor for Rentin Nangal Dewat, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyEast FacingView 9 More Wheel Chair FriendlyPet FriendlyVisitor Parking AvailableOn-Call Maint,₹ 1.4,₹0,,Independent,,3,3,1.0,Unknown,1800 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:30:34,140000.0,1800.0,,,3.0,4.0,West Delhi Jan 21,77.73459189339256,6,0.75,0.6,0,0,Large,1,1,1,1,0,0,22
"3BHK3BathsIndependent/Builder Floor for Rentin Bali Nagar, Delhi",Paschim ViharBuilder Floor for rent in Virender NagarBuilder Floor for rent in P,"Block WZ, Basai Dara pur, Moti Nagar,, West DelhiSend enquiry to DealerYou are Individual DealerIND ","₹ 65,000",₹0,,Independent,,3,3,2.0,Furnished,1700 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:30:48,65000.0,1700.0,,,3.0,4.0,Paschim ViharBuilder Floor for rent in Virender NagarBuilder Floor for rent in P,38.21281599059377,6,0.75,0.6,0,0,Large,2,1,0,1,0,0,12
"3BHK3BathsFlat/Apartment for Rentin Capital Apartments, Nasirpur, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Capital Apartments Nasirpur Delhi - 2102 Sq. Ft.- 4th floor (out of 14),"₹ 65,000",,,Apartment/Flat,,3,3,3.0,Furnished,2102 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:30:59,65000.0,2102.0,,,4.0,14.0,West Delhi Jan 21,30.90822634331907,6,0.75,0.26666666666666666,0,0,Large,2,1,0,0,0,0,22
"4Bedrooms4BathsFarm House for Rentin Sultanpur, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Sultanpur, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 201",₹ 6.5,,,Apartment/Flat,,4,4,2.0,Unknown,21780 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:31:09,650000.0,21780.0,,,3.0,4.0,West Delhi Jan 21,29.84252330012396,8,0.8,0.6,0,0,Very Large,1,1,0,0,0,3,22
"1RK1BathStudio Apartment for Rentin DDA Flats, Saket, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat Flats for rent in DDA Flats Saket Delhi - 500 Sq. Ft.- 4th floor (out of 4),"₹ 28,000",₹0,,Apartment/Flat,,1,1,1.0,Furnished,500 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:31:25,28000.0,500.0,,,4.0,4.0,West Delhi Jan 21,55.88822355289421,2,0.5,0.8,1,0,Small,2,1,0,0,0,2,22
"5Bedrooms5BathsFarm House for Rentin Ansal Satbari, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Ansal Satbari, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug,",₹ 12,,"₹ 48,00,000",Apartment/Flat,,5,5,2.0,Unknown,43560 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:31:38,1200000.0,43560.0,,4800000.0,3.0,4.0,West Delhi Jan 21,27.547576961043134,10,0.8333333333333334,0.6,0,0,Very Large,1,1,0,0,0,3,22
"3BHK4BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2300 Sq. Ft.- 6th floor (out of 39),₹ 1.45,₹0,,Apartment/Flat,,3,4,1.0,Furnished,2300 sq.ft,30 Oct,,Dealer,,,,2025-10-12 18:31:49,145000.0,2300.0,,,6.0,39.0,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,63.01607996523251,7,1.0,0.15,0,0,Large,2,1,1,0,0,0,13
"6Bedrooms7BathsFarm House for Rentin LUXURY FARMHOUSE, Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in LUXURY FARMHOUSE, Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERM",₹ 10,,"₹ 40,00,000",Apartment/Flat,,6,7,2.0,Unknown,108901 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:32:01,1000000.0,108901.0,,4000000.0,3.0,4.0,West Delhi Jan 21,9.1825678132633,13,1.0,0.6,0,0,Very Large,1,1,0,0,0,3,22
"5Bedrooms7BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 2",₹ 10,,"₹ 30,00,000",Apartment/Flat,,5,7,2.0,Furnished,21780 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:32:16,1000000.0,21780.0,,3000000.0,3.0,4.0,West Delhi Jan 21,45.911574307883015,12,1.1666666666666667,0.6,0,0,Very Large,2,1,0,0,0,3,22
"3BHK3BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2400 Sq. Ft.- 12th floor (out of 39),₹ 1.22,₹0,"₹ 2,70,000",Apartment/Flat,,3,3,3.0,Furnished,2400 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:32:31,122000.0,2400.0,,270000.0,12.0,39.0,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,50.81216159933361,6,0.75,0.3,0,0,Large,2,1,0,0,0,0,13
"4BHK5BathsFlat/Apartment for Rentin DDA Flats Sector B Pocket 10, Pocket 10 Sector-B vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sector B Pocket 10 Pocket 10 Sector-B vasant Kunj Delhi - 2200 Sq. Ft.- G,₹ 1.25,₹0,,Apartment/Flat,,4,5,2.0,Furnished,2200 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:32:48,125000.0,2200.0,,,3.0,4.0,West Delhi Jan 21,56.792367105860976,9,1.0,0.6,0,0,Large,2,1,0,0,0,0,22
"5Bedrooms4BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDev Properties and Legal ConsultantsDev Properties and Legal Con",₹ 6,,,Apartment/Flat,,5,4,2.0,Furnished,54451 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:33:00,600000.0,54451.0,,,3.0,4.0,West Delhi Jan 21,11.01887901270844,9,0.6666666666666666,0.6,0,0,Very Large,2,1,0,0,0,3,22
"3BHK3BathsIndependent/Builder Floor for Rentin Defence Colony, South Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyCorner PropertyVitrified FlooringView 7 More Wheel Chair FriendlyVisitor Parking AvailableOn-,₹ 3,₹0,,Independent,,3,3,2.0,Semi-Furnished,2853 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:33:10,300000.0,2853.0,,,3.0,4.0,West Delhi Jan 21,105.1156271899089,6,0.75,0.6,0,0,Very Large,1,1,1,1,0,3,22
"3BHK3BathsIndependent/Builder Floor for Rentin Block C Defence Colony, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block C Defence Colony Delhi - 2000 Sq. Ft.- 3rd floor (out of 4),₹ 2.5,₹0,,Independent,,3,3,2.0,Semi-Furnished,2000 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:33:23,250000.0,2000.0,,,3.0,4.0,West Delhi Jan 21,124.9375312343828,6,0.75,0.6,0,0,Large,1,1,1,1,0,0,22
"4BHK4BathsIndependent/Builder Floor for Rentin c2 block Janakpuri , Janakpuri, West Delhi","Paschim Vihar, DelhiEnquire NowContact NowVerifiedSandeep Kumar (Dealer) 28th Se",SocietyMarble FlooringVisitor Parking AvailableView 5 More On-Call Maintenance StaffFeng Shui/ Vaast,"₹ 71,000",,"₹ 1,42,000",Independent,,4,4,2.0,Semi-Furnished,2025 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:33:35,71000.0,2025.0,,142000.0,3.0,4.0,Paschim Vihar,35.04442250740375,8,0.8,0.6,0,0,Large,1,1,0,1,0,0,0
"5Bedrooms6BathsFarm House for Rentin Bandh Road, South Delhi, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Bandh Road, South Delhi, DelhiShekhawat PropertiesNarender ShekhawatFEATURED DEALE",₹ 17,,,Apartment/Flat,,5,6,2.0,Furnished,43560 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:33:48,1700000.0,43560.0,,,3.0,4.0,West Delhi Jan 21,39.02573402814444,11,1.0,0.6,0,0,Very Large,2,1,0,0,0,3,22
"5Bedrooms6BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 2",₹ 6,,"₹ 18,00,000",Apartment/Flat,,5,6,2.0,Furnished,9000 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:33:57,600000.0,9000.0,,1800000.0,3.0,4.0,West Delhi Jan 21,66.65926008221308,11,1.0,0.6,0,0,Very Large,2,1,1,0,0,3,22
"4BHK4BathsIndependent/Builder Floor for Rentin 478 yards brand new floor 4bhk, South Extension 2, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA (+250)BLM (+590)SHN (+290)KNA (+1869)LCA (+1758)MAF (+1599)SPM (+508)VCT (+1784)WSM (+685)SMR (+,₹ 2.5,,,Independent,,4,4,3.0,Semi-Furnished,4302 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:34:06,250000.0,4302.0,,,3.0,4.0,West Delhi Jan 21,58.09900069718801,8,0.8,0.6,0,0,Very Large,1,1,0,1,0,3,22
"4BHK5BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 2500 Sq. Ft.- 11th floor (out of 26),₹ 1.25,₹0,"₹ 2,60,000",Apartment/Flat,,4,5,2.0,Semi-Furnished,2500 sq.ft,Immediate,,Dealer,,,,2025-10-12 18:34:21,125000.0,2500.0,,260000.0,11.0,26.0,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,49.98000799680128,9,1.0,0.4074074074074074,0,0,Very Large,1,1,0,0,0,3,13
